,Year,Date,Country,City,Deaths,Type,More Info
0,,December 18,Pakistan,Timergara,12,suicide car bomb,Main article: December 2009 Lower Dir mosque bombing
1,,December15,Pakistan,Dera Ghazi Khan,33,car bomb,Main article: 2009 Dera Ghazi Khan bombing
2,,December8,Iraq,Baghdad,127,suicide car bombs,Main article: 8 December 2009 Baghdad bombings
3,,November 19,Pakistan,Peshawar,10,car bomb,Main article: 2009 Peshawar judicial complex bombing
4,,November 2,Pakistan,Rawalpindi,35,motorcycle bomb,Main article: November 2009 Rawalpindi bombing
5,,October 28,Pakistan,"Peshawar, North-West Frontier Province",92,car bomb,Main article: 28 October 2009 Peshawar bombing
6,,October 25,Iraq,Baghdad,155,car bombs (2),Main article: 25 October 2009 Baghdad bombings
7,,October  12,Pakistan,"Shangla District, Swat Valley",41,suicide car bomb against military vehicle,Main article: 2009 in Pakistan
8,,October  11,Iraq,"Ramadi, Al Anbar Governorate",26,"coordinated car bombs (3), including one suicide car bomb",Main article: 2009 in Iraq
9,,October 9,Pakistan,"Peshawar, North-West Frontier Province",48,car bomb,Main article: 9 October 2009 Peshawar bombing
10,,October  8,Afghanistan,Kabul,17,suicide car bomb,Main article: 2009 Kabul Indian embassy attack
11,,September 17,Somalia,Mogadishu,21,car bombs (2),Main article: 2009 African Union base bombing in Mogadishu
12,,August 25,Afghanistan,Kandahar,43,car bomb,Main article: 25 August 2009 Kandahar bombing
13,,August 15,Afghanistan,Kabul,7,"suicide car bomb, attempted assassination",Main article: 2009 NATO Afghanistan headquarters bombing
14,,August 19,Iraq,Baghdad,101,car and truck bombs,Main article: 19 August 2009 Baghdad bombings
15,,"July4–5, 7",Philippines,Mindanao,8,"bombs, car bomb",Main article: July 2009 Mindanao bombings
16,,June 30,Iraq,Kirkuk,40,suicide car bomb,Main article: 2009 Kirkuk bombing
17,,June 24,Iraq,Baghdad,65,motorcycle bomb,
18,,June 20,Iraq,Taza,80,truck bomb,Main article: 20 June 2009 Taza bombing
19,,June 18,Somalia,Beledweyne,35,car bomb,
20,,June 10,Iraq,Al Batha,30,car bomb,
21,,June 9,Pakistan,Peshawar,17,car bomb,Main article: Pearl Continental hotel bombing
22,,May 27,Pakistan,Lahore,30,"car bomb, shooting",Main article: 2009 Lahore bombing
23,,May 20,Iraq,Baghdad,38,car bomb,
24,,April 29,Iraq,Baghdad,52,car bombs (2),Main article: 23 April 2009 Iraqi suicide attacks
25,,April 6,Iraq,Baghdad,37,car bombs (6),Main article: 6 April 2009 Baghdad bombings
26,,Feb. 22,Somalia,Mogadishu,11,car bomb,Main article: 2009 African Union base bombing in Mogadishu
27,2009,Jan. 24,Somalia,Mogadishu,15,car bomb,
28,,Dec. 28,Pakistan,Buner District,36,car bomb,[5]
29,,Dec. 5,Pakistan,Peshawar,29,car bomb,Main article: 5 December 2008 Peshawar bombing
30,,Nov. 6,Pakistan,Bajaur Agency,22,car bomb,[6]
31,,Oct. 29,Somalia,Bosaso and Hargeisa,30,car bombs (5),Main article: October 2008 Hargeisa–Bosaso bombings
32,,Oct. 10,Pakistan,Orakzai Agency,110,car bomb,Main article: 10 October 2008 Orakzai bombing
33,,September 29,Lebanon,Tripoli,7,car bomb,"Main article: 2008 Tripoli, Lebanon bombing"
