,Year,Date,Country,City,Deaths,Type
0,,December 18,Pakistan,Timergara,12,suicide car bomb
1,,December15,Pakistan,Dera Ghazi Khan,33,car bomb
2,,December8,Iraq,Baghdad,127,suicide car bombs
3,,November 19,Pakistan,Peshawar,10,car bomb
4,,November 2,Pakistan,Rawalpindi,35,motorcycle bomb
5,,October 28,Pakistan,"Peshawar, North-West Frontier Province",92,car bomb
6,,October 25,Iraq,Baghdad,155,car bombs (2)
7,,October  12,Pakistan,"Shangla District, Swat Valley",41,suicide car bomb against military vehicle
8,,October  11,Iraq,"Ramadi, Al Anbar Governorate",26,"coordinated car bombs (3), including one suicide car bomb"
9,,October 9,Pakistan,"Peshawar, North-West Frontier Province",48,car bomb
10,,October  8,Afghanistan,Kabul,17,suicide car bomb
11,,September 17,Somalia,Mogadishu,21,car bombs (2)
12,,August 25,Afghanistan,Kandahar,43,car bomb
13,,August 15,Afghanistan,Kabul,7,"suicide car bomb, attempted assassination"
14,,August 19,Iraq,Baghdad,101,car and truck bombs
15,,"July4–5, 7",Philippines,Mindanao,8,"bombs, car bomb"
16,,June 30,Iraq,Kirkuk,40,suicide car bomb
17,,June 24,Iraq,Baghdad,65,motorcycle bomb
18,,June 20,Iraq,Taza,80,truck bomb
19,,June 18,Somalia,Beledweyne,35,car bomb
20,,June 10,Iraq,Al Batha,30,car bomb
21,,June 9,Pakistan,Peshawar,17,car bomb
22,,May 27,Pakistan,Lahore,30,"car bomb, shooting"
23,,May 20,Iraq,Baghdad,38,car bomb
24,,April 29,Iraq,Baghdad,52,car bombs (2)
25,,April 6,Iraq,Baghdad,37,car bombs (6)
26,,Feb. 22,Somalia,Mogadishu,11,car bomb
27,2009,Jan. 24,Somalia,Mogadishu,15,car bomb
28,,Dec. 28,Pakistan,Buner District,36,car bomb
29,,Dec. 5,Pakistan,Peshawar,29,car bomb
30,,Nov. 6,Pakistan,Bajaur Agency,22,car bomb
31,,Oct. 29,Somalia,Bosaso and Hargeisa,30,car bombs (5)
32,,Oct. 10,Pakistan,Orakzai Agency,110,car bomb
33,,September 29,Lebanon,Tripoli,7,car bomb
34,,September 28,Iraq,Baghdad,32,"bombs, car bombs"
35,,September 27,Syria,Damascus,17,car bomb
36,,September 20,Pakistan,Islamabad,60,truck bomb
37,,September 12,Iraq,Dujail,32,car bomb
38,,September 6,Pakistan,20 km from Peshawar,30,car bomb
39,,Aug. 23,Pakistan,Swat,20,suicide car bomb
40,,Aug. 19,Algeria,Issers,44,car bomb
41,,July 7,Afghanistan,Kabul,58,car bomb
42,,June 17,Iraq,Baghdad,65,car bomb
43,,June 2,Pakistan,Islamabad,6–8,car bomb
44,,May 2,Yemen,Sa'dah,15,car bomb
45,,April 15,Iraq,Baquba,53,car bomb
46,,Feb.18,Afghanistan,Spin Boldak,38,suicide car bomb
47,,Feb.16,Pakistan,Parachinar,47,car bomb
48,2008,Feb. 10,Iraq,Balad,33,car bomb
49,,Dec. 13,Iraq,Amarah,46,3 car bombs
50,,Dec. 12,Iraq,Amarah,46,car bombs (3)
51,,Dec. 11,Algeria,Algiers,31,suicide car bombs (2)
