,Position,Company Name,YOE,CTC,location
0,Analyst- Data Science,Accenture,3-5 Yrs,Not disclosed,Bangalore/Bengaluru
1,Data Science/Data Analyst,Findoc Finvest Private Limited,4-7 Yrs,Not disclosed,Gurgaon/Gurugram
2,Senior Analyst-Data Science,Accenture,2-6 Yrs,Not disclosed,Bangalore/Bengaluru
3,Senior Analyst-Data Science,Accenture,5-8 Yrs,Not disclosed,Mumbai
4,Senior Analyst - Data Science,Tiger Analytics India LLP,1-6 Yrs,Not disclosed,Chennai(WFH during Covid)
5,Python Trainer & Data Science Trainer,CQS TRAINING PRIVATE LIMITED,0-4 Yrs,"2,50,000 - 3,00,000 PA.",New Delhi(B1 Block Janakpuri)
6,Expert Data Science,Novartis Healthcare,2-5 Yrs,Not disclosed,Hyderabad/Secunderabad
7,Analyst: Data Science Insights,TIGER ANALYTICS INDIA CONSULTING PRIVATE LIMITED,1-4 Yrs,Not disclosed,Chennai
8,Job Support - Data Science/Data Analyst,LAVSUN Technologies Inc.,5-10 Yrs,"50,000 - 60,000 PA.",Remote
9,Senior Analyst-Data Science,Accenture,5-8 Yrs,Not disclosed,Bangalore/Bengaluru
10,Technology Analyst: Data Science | Machine Learning,Infosys,3-8 Yrs,Not disclosed,Bangalore/Bengaluru
11,Senior  Data Scientist - Analytics Organization- Data Science,PlaceMinds Consulting Pvt. Ltd,6-11 Yrs,Not disclosed,"Mumbai, Pune, Bangalore/Bengaluru"
12,Senior Research Analyst / Asst Manager Data Science,TrizTeck Intellectual Property Solutions LLP,2-5 Yrs,"4,75,000 - 7,50,000 PA.",New Delhi(Greater Kailash)
13,Data science +  Python - NP Max 45 days,ERM Placement Services (P) Ltd.,3-5 Yrs,Not disclosed,"Kolkata, Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)"
14,Technology Lead - Data Science / Machine Learning,Infosys,5-10 Yrs,Not disclosed,Bangalore/Bengaluru
15,Data Science Consultant,Dell,5-10 Yrs,Not disclosed,Bangalore/Bengaluru
16,Advisor Digital Analytics and Data Science,Dell,5-10 Yrs,Not disclosed,Bangalore/Bengaluru
17,Lead Business Analyst - Data Science | Talent500,TALENT500 TECH (INDIA) PRIVATE LIMITED,6-11 Yrs,Not disclosed,Remote
18,Data Science Senior,Larsen & Toubro (L&T),4-6 Yrs,Not disclosed,"Mysore/Mysuru, Chennai, Hyderabad"
19,Opening with Data Science,Pricewater House Coopers Service Delivery Center    Bangalore Private Limited,2-5 Yrs,Not disclosed,"Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)"
0,Team Lead/Consultant-Data Science,Accenture,7-11 Yrs,Not disclosed,Bangalore/Bengaluru
1,Data Science Fresher | Geakminds | Chennai,Geakminds Technologies Private Limited,0-2 Yrs,Not disclosed,Chennai
2,Data Science Application Developer,Accenture,4-6 Yrs,Not disclosed,Bangalore/Bengaluru
3,Data Science Engineer,Texas Instruments,0-2 Yrs,Not disclosed,Bangalore/Bengaluru
4,Data Science - Intern,SMECLabs Trivandrum,1-3 Yrs,Not disclosed,Ernakulam
5,Specialist in VBA For Quantitative Analysis and Data Science,Gartner,1-3 Yrs,Not disclosed,Gurgaon/Gurugram
6,Senior Analyst-Data Science,Accenture,5-8 Yrs,Not disclosed,Bangalore/Bengaluru
7,Looking For Part Time Data Science Trainer (WFH) with LetsUpgrade,ITM Edutech (India) Limited,0-5 Yrs,Not disclosed,"Hyderabad/Secunderabad, Navi Mumbai, Gurgaon/Gurugram, Chennai, Bangalore/Bengaluru, Mumbai (All Areas)"
8,Data Science Lead,Larsen & Toubro (L&T),7-10 Yrs,Not disclosed,"Mysore/Mysuru, Chennai, Hyderabad"
9,Data Science Software Development Engineer,Accenture,4-6 Yrs,Not disclosed,Hyderabad/Secunderabad
10,"Chief Architect(.Net, Azure, Data Science, Machine Learning, Big Data)",Mapps IT Services Pvt Ltd.,10-20 Yrs,Not disclosed,Remote
11,Team Lead/Consultant-Data Science,Accenture,7-11 Yrs,Not disclosed,Mumbai
12,Team Lead/Consultant-Data Science,Accenture,7-11 Yrs,Not disclosed,Mumbai
13,Team Lead/Consultant-Data Science,Accenture,7-11 Yrs,Not disclosed,Mumbai
14,Python -Data science Trainers,Nexgen Solutions,3-8 Yrs,Not disclosed,Chennai(WFH during Covid)
15,Python / Data Analytics / Data Science Trainer @ TechVidya,TECHVIDYA CAREER PVT. LTD.,1-6 Yrs,"2,50,000 - 6,00,000 PA.",Noida(Sector-2 Noida)
16,Data Science Engineer - Machine/Deep Learning Models - R/Python/Scala,CarbyneTech India,4-8 Yrs,Not disclosed,Hyderabad/Secunderabad
17,Senior Director -  Data Science,Course5,10-15 Yrs,"25,00,000 - 40,00,000 PA.","Gurgaon/Gurugram, Bangalore/Bengaluru"
18,Senior Analyst - Data Science - IIT/NIT/IIM/XLRI/FMS,Huquo Consulting Pvt. Ltd,2-5 Yrs,Not disclosed,Gurgaon/Gurugram
19,Senior Analyst - Data Science - IIT/NIT/IIM/XLRI/FMS,Huquo Consulting Pvt. Ltd,2-5 Yrs,Not disclosed,Gurgaon/Gurugram
0,Urgent Opening-Principal Consultant- Data Science,Wipro,10-13 Yrs,Not disclosed,"Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru"
1,"Advisor, Data Science",Dell,5-8 Yrs,Not disclosed,Bangalore/Bengaluru
